ISSN,Full Title,SCI/SCIE,Impact Factor,Rank,Category
1060-1872,OPERATIVE TECHNIQUES IN SPORTS MEDICINE,SCIE,0.365,75,SPORT SCIENCES
0959-3020,ISOKINETICS AND EXERCISE SCIENCE,SCIE,0.357,76,SPORT SCIENCES
1091-5397,ACSMS HEALTH & FITNESS JOURNAL,SCIE,0.356,77,SPORT SCIENCES
1728-869X,JOURNAL OF EXERCISE SCIENCE & FITNESS,SCIE,0.267,78,SPORT SCIENCES
0940-6689,PHYSIKALISCHE MEDIZIN REHABILITATIONSMEDIZIN KURORTMEDIZIN,SCIE,0.247,79,SPORT SCIENCES
1517-8692,REVISTA BRASILEIRA DE MEDICINA DO ESPORTE,SCIE,0.173,80,SPORT SCIENCES
0025-7826,MEDICINA DELLO SPORT,SCIE,0.163,81,SPORT SCIENCES
2375-6314,AEROSPACE MEDICINE AND HUMAN PERFORMANCE,SCIE,Not Available,82,SPORT SCIENCES
0962-2802,STATISTICAL METHODS IN MEDICAL RESEARCH,SCI,4.634,1,STATISTICS & PROBABILITY
1369-7412,JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY,SCI,4.222,2,STATISTICS & PROBABILITY
0012-9682,ECONOMETRICA,SCIE,4.053,3,STATISTICS & PROBABILITY
0007-1102,BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY,SCIE,3.698,4,STATISTICS & PROBABILITY
2326-8298,ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION,SCIE,3.045,5,STATISTICS & PROBABILITY
0090-5364,ANNALS OF STATISTICS,SCIE,2.780,6,STATISTICS & PROBABILITY
1548-7660,JOURNAL OF STATISTICAL SOFTWARE,SCIE,2.379,7,STATISTICS & PROBABILITY
1436-3240,STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,SCI,2.237,8,STATISTICS & PROBABILITY
0169-7439,CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS,SCIE,2.217,9,STATISTICS & PROBABILITY
0883-4237,STATISTICAL SCIENCE,SCI,2.213,10,STATISTICS & PROBABILITY
0178-8051,PROBABILITY THEORY AND RELATED FIELDS,SCI,2.204,11,STATISTICS & PROBABILITY
0949-2984,FINANCE AND STOCHASTICS,SCIE,2.169,12,STATISTICS & PROBABILITY
1465-4644,BIOSTATISTICS,SCIE,2.109,13,STATISTICS & PROBABILITY
0165-0114,FUZZY SETS AND SYSTEMS,SCIE,2.098,14,STATISTICS & PROBABILITY
0886-9383,JOURNAL OF CHEMOMETRICS,SCI,1.873,15,STATISTICS & PROBABILITY
0747-4938,ECONOMETRIC REVIEWS,SCIE,1.817,16,STATISTICS & PROBABILITY
0306-7734,INTERNATIONAL STATISTICAL REVIEW,SCI,1.789,17,STATISTICS & PROBABILITY
0960-3174,STATISTICS AND COMPUTING,SCIE,1.786,18,STATISTICS & PROBABILITY
1050-5164,ANNALS OF APPLIED PROBABILITY,SCIE,1.755,19,STATISTICS & PROBABILITY
1061-8600,JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS,SCIE,1.755,19,STATISTICS & PROBABILITY
0091-1798,ANNALS OF PROBABILITY,SCIE,1.734,21,STATISTICS & PROBABILITY
0162-1459,JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION,SCI,1.725,22,STATISTICS & PROBABILITY
1862-5347,ADVANCES IN DATA ANALYSIS AND CLASSIFICATION,SCIE,1.707,23,STATISTICS & PROBABILITY
0964-1998,JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY,SCI,1.702,24,STATISTICS & PROBABILITY
0735-0015,JOURNAL OF BUSINESS & ECONOMIC STATISTICS,SCIE,1.648,25,STATISTICS & PROBABILITY
1545-5963,IEEE-ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS,SCIE,1.609,26,STATISTICS & PROBABILITY
0346-1238,SCANDINAVIAN ACTUARIAL JOURNAL,SCIE,1.596,27,STATISTICS & PROBABILITY
0022-4065,JOURNAL OF QUALITY TECHNOLOGY,SCI,1.578,28,STATISTICS & PROBABILITY
0027-3171,MULTIVARIATE BEHAVIORAL RESEARCH,SCIE,1.551,29,STATISTICS & PROBABILITY
1066-5277,JOURNAL OF COMPUTATIONAL BIOLOGY,SCIE,1.537,30,STATISTICS & PROBABILITY
0277-6715,STATISTICS IN MEDICINE,SCI,1.533,31,STATISTICS & PROBABILITY
0040-1706,TECHNOMETRICS,SCI,1.435,32,STATISTICS & PROBABILITY
1932-6157,ANNALS OF APPLIED STATISTICS,SCIE,1.432,33,STATISTICS & PROBABILITY
1386-1999,EXTREMES,SCIE,1.400,34,STATISTICS & PROBABILITY
2211-6753,SPATIAL STATISTICS,SCIE,1.385,35,STATISTICS & PROBABILITY
0167-6687,INSURANCE MATHEMATICS & ECONOMICS,SCIE,1.378,36,STATISTICS & PROBABILITY
1350-7265,BERNOULLI,SCIE,1.372,37,STATISTICS & PROBABILITY
0006-341X,BIOMETRICS,SCIE,1.360,38,STATISTICS & PROBABILITY
0035-9254,JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS,SCI,1.354,39,STATISTICS & PROBABILITY
1230-1612,OPEN SYSTEMS & INFORMATION DYNAMICS,SCIE,1.306,40,STATISTICS & PROBABILITY
1536-867X,STATA JOURNAL,SCIE,1.292,41,STATISTICS & PROBABILITY
2194-6302,STATISTICAL APPLICATIONS IN GENETICS AND MOLECULAR BIOLOGY,SCIE,1.265,42,STATISTICS & PROBABILITY
0305-9049,OXFORD BULLETIN OF ECONOMICS AND STATISTICS,SCIE,1.247,43,STATISTICS & PROBABILITY
0266-8920,PROBABILISTIC ENGINEERING MECHANICS,SCI,1.241,44,STATISTICS & PROBABILITY
1539-1604,PHARMACEUTICAL STATISTICS,SCI,1.235,45,STATISTICS & PROBABILITY
0003-1305,AMERICAN STATISTICIAN,SCIE,1.215,46,STATISTICS & PROBABILITY
1133-0686,TEST,SCIE,1.207,47,STATISTICS & PROBABILITY
0304-4149,STOCHASTIC PROCESSES AND THEIR APPLICATIONS,SCI,1.193,48,STATISTICS & PROBABILITY
0167-9473,COMPUTATIONAL STATISTICS & DATA ANALYSIS,SCIE,1.179,49,STATISTICS & PROBABILITY
0266-4666,ECONOMETRIC THEORY,SCIE,1.162,50,STATISTICS & PROBABILITY
1180-4009,ENVIRONMETRICS,SCIE,1.160,51,STATISTICS & PROBABILITY
0006-3444,BIOMETRIKA,SCIE,1.130,52,STATISTICS & PROBABILITY
1368-4221,ECONOMETRICS JOURNAL,SCIE,1.116,53,STATISTICS & PROBABILITY
1931-6690,BAYESIAN ANALYSIS,SCIE,1.087,54,STATISTICS & PROBABILITY
1863-8171,ASTA-ADVANCES IN STATISTICAL ANALYSIS,SCIE,1.053,55,STATISTICS & PROBABILITY
2073-4859,R JOURNAL,SCIE,1.045,56,STATISTICS & PROBABILITY
0143-9782,JOURNAL OF TIME SERIES ANALYSIS,SCI,1.000,57,STATISTICS & PROBABILITY
0246-0203,ANNALES DE L INSTITUT HENRI POINCARE-PROBABILITES ET STATISTIQUES,SCIE,0.938,58,STATISTICS & PROBABILITY
1471-082X,STATISTICAL MODELLING,SCIE,0.932,59,STATISTICS & PROBABILITY
0303-6898,SCANDINAVIAN JOURNAL OF STATISTICS,SCI,0.908,60,STATISTICS & PROBABILITY
0898-2112,QUALITY ENGINEERING,SCIE,0.883,61,STATISTICS & PROBABILITY
1054-3406,JOURNAL OF BIOPHARMACEUTICAL STATISTICS,SCIE,0.882,62,STATISTICS & PROBABILITY
0033-5177,QUALITY & QUANTITY,SCIE,0.867,63,STATISTICS & PROBABILITY
0047-259X,JOURNAL OF MULTIVARIATE ANALYSIS,SCI,0.857,64,STATISTICS & PROBABILITY
1083-6489,ELECTRONIC JOURNAL OF PROBABILITY,SCIE,0.852,65,STATISTICS & PROBABILITY
1017-0405,STATISTICA SINICA,SCI,0.838,66,STATISTICS & PROBABILITY
1380-7870,LIFETIME DATA ANALYSIS,SCIE,0.810,67,STATISTICS & PROBABILITY
1085-7117,JOURNAL OF AGRICULTURAL BIOLOGICAL AND ENVIRONMENTAL STATISTICS,SCI,0.790,68,STATISTICS & PROBABILITY
1387-5841,METHODOLOGY AND COMPUTING IN APPLIED PROBABILITY,SCIE,0.782,69,STATISTICS & PROBABILITY
0932-5026,STATISTICAL PAPERS,SCIE,0.781,70,STATISTICS & PROBABILITY
1352-8505,ENVIRONMENTAL AND ECOLOGICAL STATISTICS,SCIE,0.769,71,STATISTICS & PROBABILITY
0020-3157,ANNALS OF THE INSTITUTE OF STATISTICAL MATHEMATICS,SCIE,0.768,72,STATISTICS & PROBABILITY
0094-9655,JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION,SCIE,0.749,73,STATISTICS & PROBABILITY
1935-7524,ELECTRONIC JOURNAL OF STATISTICS,SCIE,0.736,74,STATISTICS & PROBABILITY
0515-0361,ASTIN BULLETIN,SCIE,0.732,75,STATISTICS & PROBABILITY
0378-3758,JOURNAL OF STATISTICAL PLANNING AND INFERENCE,SCIE,0.727,76,STATISTICS & PROBABILITY
0323-3847,BIOMETRICAL JOURNAL,SCIE,0.683,77,STATISTICS & PROBABILITY
0219-0257,INFINITE DIMENSIONAL ANALYSIS QUANTUM PROBABILITY AND RELATED TOPICS,SCIE,0.682,78,STATISTICS & PROBABILITY
1946-6315,STATISTICS IN BIOPHARMACEUTICAL RESEARCH,SCIE,0.672,79,STATISTICS & PROBABILITY
2194-573X,INTERNATIONAL JOURNAL OF BIOSTATISTICS,SCIE,0.667,80,STATISTICS & PROBABILITY
0021-9002,JOURNAL OF APPLIED PROBABILITY,SCI,0.665,81,STATISTICS & PROBABILITY
0001-8678,ADVANCES IN APPLIED PROBABILITY,SCIE,0.654,82,STATISTICS & PROBABILITY
0219-4937,STOCHASTICS AND DYNAMICS,SCIE,0.644,83,STATISTICS & PROBABILITY
0736-2994,STOCHASTIC ANALYSIS AND APPLICATIONS,SCIE,0.630,84,STATISTICS & PROBABILITY
1744-2508,STOCHASTICS-AN INTERNATIONAL JOURNAL OF PROBABILITY AND STOCHASTIC REPORTS,SCIE,0.630,84,STATISTICS & PROBABILITY
0963-5483,COMBINATORICS PROBABILITY & COMPUTING,SCIE,0.627,86,STATISTICS & PROBABILITY
1684-3703,QUALITY TECHNOLOGY AND QUANTITATIVE MANAGEMENT,SCIE,0.627,86,STATISTICS & PROBABILITY
1572-3127,STATISTICAL METHODOLOGY,SCIE,0.604,88,STATISTICS & PROBABILITY
1292-8100,ESAIM-PROBABILITY AND STATISTICS,SCIE,0.600,89,STATISTICS & PROBABILITY
0026-1335,METRIKA,SCIE,0.595,90,STATISTICS & PROBABILITY
1470-8396,LAW PROBABILITY & RISK,SCIE,0.594,91,STATISTICS & PROBABILITY
0020-7276,INTERNATIONAL JOURNAL OF GAME THEORY,SCIE,0.577,92,STATISTICS & PROBABILITY
1524-1904,APPLIED STOCHASTIC MODELS IN BUSINESS AND INDUSTRY,SCIE,0.574,93,STATISTICS & PROBABILITY
1932-1864,STATISTICAL ANALYSIS AND DATA MINING,SCIE,0.574,93,STATISTICS & PROBABILITY
1980-0436,ALEA-LATIN AMERICAN JOURNAL OF PROBABILITY AND MATHEMATICAL STATISTICS,SCIE,0.550,95,STATISTICS & PROBABILITY
0747-4946,SEQUENTIAL ANALYSIS-DESIGN METHODS AND APPLICATIONS,SCIE,0.544,96,STATISTICS & PROBABILITY
0233-1888,STATISTICS,SCI,0.530,97,STATISTICS & PROBABILITY
0943-4062,COMPUTATIONAL STATISTICS,SCIE,0.520,98,STATISTICS & PROBABILITY
0167-7152,STATISTICS & PROBABILITY LETTERS,SCIE,0.506,99,STATISTICS & PROBABILITY
1024-2953,MARKOV PROCESSES AND RELATED FIELDS,SCIE,0.484,100,STATISTICS & PROBABILITY
1083-589X,ELECTRONIC COMMUNICATIONS IN PROBABILITY,SCIE,0.467,101,STATISTICS & PROBABILITY
0282-423X,JOURNAL OF OFFICIAL STATISTICS,SCIE,0.467,101,STATISTICS & PROBABILITY
0894-9840,JOURNAL OF THEORETICAL PROBABILITY,SCI,0.466,103,STATISTICS & PROBABILITY
1048-5252,JOURNAL OF NONPARAMETRIC STATISTICS,SCIE,0.446,104,STATISTICS & PROBABILITY
0889-8480,MATHEMATICAL POPULATION STUDIES,SCIE,0.444,105,STATISTICS & PROBABILITY
0039-0402,STATISTICA NEERLANDICA,SCIE,0.432,106,STATISTICS & PROBABILITY
1369-1473,AUSTRALIAN & NEW ZEALAND JOURNAL OF STATISTICS,SCIE,0.431,107,STATISTICS & PROBABILITY
0103-0752,BRAZILIAN JOURNAL OF PROBABILITY AND STATISTICS,SCIE,0.420,108,STATISTICS & PROBABILITY
0266-4763,JOURNAL OF APPLIED STATISTICS,SCIE,0.419,109,STATISTICS & PROBABILITY
1645-6726,REVSTAT-STATISTICAL JOURNAL,SCIE,0.419,109,STATISTICS & PROBABILITY
1696-2281,SORT-STATISTICS AND OPERATIONS RESEARCH TRANSACTIONS,SCIE,0.414,111,STATISTICS & PROBABILITY
0319-5724,CANADIAN JOURNAL OF STATISTICS-REVUE CANADIENNE DE STATISTIQUE,SCIE,0.413,112,STATISTICS & PROBABILITY
0040-585X,THEORY OF PROBABILITY AND ITS APPLICATIONS,SCIE,0.408,113,STATISTICS & PROBABILITY
0361-0918,COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION,SCIE,0.397,114,STATISTICS & PROBABILITY
0269-9648,PROBABILITY IN THE ENGINEERING AND INFORMATIONAL SCIENCES,SCIE,0.390,115,STATISTICS & PROBABILITY
1618-2510,STATISTICAL METHODS AND APPLICATIONS,SCIE,0.375,116,STATISTICS & PROBABILITY
1532-6349,STOCHASTIC MODELS,SCIE,0.360,117,STATISTICS & PROBABILITY
1226-3192,JOURNAL OF THE KOREAN STATISTICAL SOCIETY,SCIE,0.353,118,STATISTICS & PROBABILITY
0208-4147,PROBABILITY AND MATHEMATICAL STATISTICS-POLAND,SCIE,0.315,119,STATISTICS & PROBABILITY
0361-0926,COMMUNICATIONS IN STATISTICS-THEORY AND METHODS,SCIE,0.300,120,STATISTICS & PROBABILITY
1303-5010,HACETTEPE JOURNAL OF MATHEMATICS AND STATISTICS,SCIE,0.277,121,STATISTICS & PROBABILITY
0315-3681,UTILITAS MATHEMATICA,SCIE,0.273,122,STATISTICS & PROBABILITY
0714-0045,SURVEY METHODOLOGY,SCIE,0.270,123,STATISTICS & PROBABILITY
0965-2140,ADDICTION,SCIE,4.972,1,SUBSTANCE ABUSE
1355-6215,ADDICTION BIOLOGY,SCIE,4.547,2,SUBSTANCE ABUSE
1462-2203,NICOTINE & TOBACCO RESEARCH,SCIE,3.811,3,SUBSTANCE ABUSE
0376-8716,DRUG AND ALCOHOL DEPENDENCE,SCIE,3.349,4,SUBSTANCE ABUSE
0145-6008,ALCOHOLISM-CLINICAL AND EXPERIMENTAL RESEARCH,SCIE,2.829,5,SUBSTANCE ABUSE
0306-4603,ADDICTIVE BEHAVIORS,SCIE,2.795,6,SUBSTANCE ABUSE
0735-0414,ALCOHOL AND ALCOHOLISM,SCIE,2.724,7,SUBSTANCE ABUSE
0889-7077,SUBSTANCE ABUSE,SCIE,2.576,8,SUBSTANCE ABUSE
0741-8329,ALCOHOL,SCIE,2.440,9,SUBSTANCE ABUSE
1022-6877,EUROPEAN ADDICTION RESEARCH,SCIE,2.367,10,SUBSTANCE ABUSE
1937-1888,JOURNAL OF STUDIES ON ALCOHOL AND DRUGS,SCI,2.197,11,SUBSTANCE ABUSE
1932-0620,JOURNAL OF ADDICTION MEDICINE,SCIE,2.065,12,SUBSTANCE ABUSE
1617-9625,TOBACCO INDUCED DISEASES,SCIE,1.938,13,SUBSTANCE ABUSE
0095-2990,AMERICAN JOURNAL OF DRUG AND ALCOHOL ABUSE,SCIE,1.828,14,SUBSTANCE ABUSE
0214-4840,ADICCIONES,SCIE,1.780,15,SUBSTANCE ABUSE
1082-6084,SUBSTANCE USE & MISUSE,SCI,1.133,16,SUBSTANCE ABUSE
1557-1874,INTERNATIONAL JOURNAL OF MENTAL HEALTH AND ADDICTION,SCIE,1.018,17,SUBSTANCE ABUSE
1088-4602,JOURNAL OF ADDICTIONS NURSING,SCIE,0.480,18,SUBSTANCE ABUSE
0003-4932,ANNALS OF SURGERY,SCI,8.569,1,SURGERY
1053-2498,JOURNAL OF HEART AND LUNG TRANSPLANTATION,SCI,7.509,2,SURGERY
0022-3050,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY,SCI,6.431,3,SURGERY
1600-6135,AMERICAN JOURNAL OF TRANSPLANTATION,SCIE,5.669,4,SURGERY
2168-6254,JAMA SURGERY,SCI,5.661,5,SURGERY
0013-726X,ENDOSCOPY,SCI,5.634,6,SURGERY
0007-1323,BRITISH JOURNAL OF SURGERY,SCI,5.596,7,SURGERY
0021-9355,JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME,SCI,5.163,8,SURGERY
0147-5185,AMERICAN JOURNAL OF SURGICAL PATHOLOGY,SCI,4.951,9,SURGERY
1072-7515,JOURNAL OF THE AMERICAN COLLEGE OF SURGEONS,SCI,4.257,10,SURGERY
1527-6465,LIVER TRANSPLANTATION,SCI,3.951,11,SURGERY
0148-396X,NEUROSURGERY,SCI,3.780,12,SURGERY
0012-3706,DISEASES OF THE COLON & RECTUM,SCI,3.739,13,SURGERY
0749-8063,ARTHROSCOPY-THE JOURNAL OF ARTHROSCOPIC AND RELATED SURGERY,SCI,3.724,14,SURGERY
0041-1337,TRANSPLANTATION,SCI,3.690,15,SURGERY
1068-9265,ANNALS OF SURGICAL ONCOLOGY,SCI,3.655,16,SURGERY
0930-2794,SURGICAL ENDOSCOPY AND OTHER INTERVENTIONAL TECHNIQUES,SCI,3.540,17,SURGERY
1550-7289,SURGERY FOR OBESITY AND RELATED DISEASES,SCIE,3.540,17,SURGERY
0960-7404,SURGICAL ONCOLOGY-OXFORD,SCIE,3.514,19,SURGERY
0022-5223,JOURNAL OF THORACIC AND CARDIOVASCULAR SURGERY,SCI,3.494,20,SURGERY
0741-5214,JOURNAL OF VASCULAR SURGERY,SCI,3.454,21,SURGERY
0022-3085,JOURNAL OF NEUROSURGERY,SCI,3.443,22,SURGERY
0960-8923,OBESITY SURGERY,SCI,3.346,23,SURGERY
1081-597X,JOURNAL OF REFRACTIVE SURGERY,SCI,3.314,24,SURGERY
0039-6060,SURGERY,SCI,3.309,25,SURGERY
0022-4790,JOURNAL OF SURGICAL ONCOLOGY,SCI,3.151,26,SURGERY
1868-6974,JOURNAL OF HEPATO-BILIARY-PANCREATIC SCIENCES,SCIE,3.146,27,SURGERY
1526-6028,JOURNAL OF ENDOVASCULAR THERAPY,SCI,3.128,28,SURGERY
0009-921X,CLINICAL ORTHOPAEDICS AND RELATED RESEARCH,SCI,3.127,29,SURGERY
0942-2056,KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY,SCI,3.097,30,SURGERY
0032-1052,PLASTIC AND RECONSTRUCTIVE SURGERY,SCI,3.087,31,SURGERY
1067-151X,JOURNAL OF THE AMERICAN ACADEMY OF ORTHOPAEDIC SURGEONS,SCIE,3.055,32,SURGERY
1073-2322,SHOCK,SCI,3.048,33,SURGERY
0886-3350,JOURNAL OF CATARACT AND REFRACTIVE SURGERY,SCI,3.020,34,SURGERY
0003-4975,ANNALS OF THORACIC SURGERY,SCI,2.975,35,SURGERY
1759-8478,JOURNAL OF NEUROINTERVENTIONAL SURGERY,SCIE,2.959,36,SURGERY
0748-7983,EJSO,SCIE,2.940,37,SURGERY
1365-182X,HPB,SCIE,2.918,38,SURGERY
1078-5884,EUROPEAN JOURNAL OF VASCULAR AND ENDOVASCULAR SURGERY,SCI,2.912,39,SURGERY
0934-0874,TRANSPLANT INTERNATIONAL,SCI,2.835,40,SURGERY
0898-4921,JOURNAL OF NEUROSURGICAL ANESTHESIOLOGY,SCI,2.828,41,SURGERY
1091-255X,JOURNAL OF GASTROINTESTINAL SURGERY,SCIE,2.807,42,SURGERY
1010-7940,EUROPEAN JOURNAL OF CARDIO-THORACIC SURGERY,SCI,2.803,43,SURGERY
2163-0755,JOURNAL OF TRAUMA AND ACUTE CARE SURGERY,SCI,2.802,44,SURGERY
1043-3074,HEAD AND NECK-JOURNAL FOR THE SCIENCES AND SPECIALTIES OF THE HEAD AND NECK,SCI,2.760,45,SURGERY
0915-5635,DIGESTIVE ENDOSCOPY,SCIE,2.715,46,SURGERY
1878-8750,WORLD NEUROSURGERY,SCI,2.685,47,SURGERY
2049-4394,BONE & JOINT JOURNAL,SCI,2.660,48,SURGERY
1067-1927,WOUND REPAIR AND REGENERATION,SCI,2.628,49,SURGERY
1742-4801,INTERNATIONAL WOUND JOURNAL,SCIE,2.594,50,SURGERY
1092-0684,NEUROSURGICAL FOCUS,SCIE,2.546,51,SURGERY
0364-2313,WORLD JOURNAL OF SURGERY,SCI,2.523,52,SURGERY
1090-820X,AESTHETIC SURGERY JOURNAL,SCIE,2.502,53,SURGERY
0268-8921,LASERS IN MEDICAL SCIENCE,SCI,2.461,54,SURGERY
1462-8910,COLORECTAL DISEASE,SCIE,2.452,55,SURGERY
1058-2746,JOURNAL OF SHOULDER AND ELBOW SURGERY,SCI,2.412,56,SURGERY
0002-9610,AMERICAN JOURNAL OF SURGERY,SCI,2.403,57,SURGERY
0179-1958,INTERNATIONAL JOURNAL OF COLORECTAL DISEASE,SCIE,2.383,58,SURGERY
1123-6337,TECHNIQUES IN COLOPROCTOLOGY,SCIE,2.320,59,SURGERY
0022-4804,JOURNAL OF SURGICAL RESEARCH,SCI,2.198,60,SURGERY
0344-5607,NEUROSURGICAL REVIEW,SCIE,2.166,61,SURGERY
1435-2443,LANGENBECKS ARCHIVES OF SURGERY,SCIE,2.149,62,SURGERY
0196-8092,LASERS IN SURGERY AND MEDICINE,SCI,2.135,63,SURGERY
1547-5654,JOURNAL OF NEUROSURGERY-SPINE,SCIE,2.126,64,SURGERY
0039-6109,SURGICAL CLINICS OF NORTH AMERICA,SCI,2.068,65,SURGERY
1265-4906,HERNIA,SCIE,2.054,66,SURGERY
0738-1085,MICROSURGERY,SCIE,2.054,66,SURGERY
1479-666X,SURGEON-JOURNAL OF THE ROYAL COLLEGES OF SURGEONS OF EDINBURGH AND IRELAND,SCIE,2.046,68,SURGERY
0194-5998,OTOLARYNGOLOGY-HEAD AND NECK SURGERY,SCI,2.021,69,SURGERY
1055-3207,SURGICAL ONCOLOGY CLINICS OF NORTH AMERICA,SCIE,1.958,70,SURGERY
1931-7204,JOURNAL OF SURGICAL EDUCATION,SCIE,1.950,71,SURGERY
1076-0512,DERMATOLOGIC SURGERY,SCI,1.936,72,SURGERY
1457-4969,SCANDINAVIAN JOURNAL OF SURGERY,SCIE,1.924,73,SURGERY
0020-1383,INJURY-INTERNATIONAL JOURNAL OF THE CARE OF THE INJURED,SCIE,1.910,74,SURGERY
0305-4179,BURNS,SCIE,1.904,75,SURGERY
1753-1934,JOURNAL OF HAND SURGERY-EUROPEAN VOLUME,SCI,1.868,76,SURGERY
0902-0063,CLINICAL TRANSPLANTATION,SCI,1.844,77,SURGERY
1861-6410,INTERNATIONAL JOURNAL OF COMPUTER ASSISTED RADIOLOGY AND SURGERY,SCIE,1.827,78,SURGERY
0011-3840,CURRENT PROBLEMS IN SURGERY,SCI,1.824,79,SURGERY
0894-1130,JOURNAL OF HAND THERAPY,SCIE,1.770,80,SURGERY
1933-0707,JOURNAL OF NEUROSURGERY-PEDIATRICS,SCIE,1.757,81,SURGERY
2168-6076,JAMA FACIAL PLASTIC SURGERY,SCIE,1.744,82,SURGERY
1748-6815,JOURNAL OF PLASTIC RECONSTRUCTIVE AND AESTHETIC SURGERY,SCI,1.743,83,SURGERY
0743-684X,JOURNAL OF RECONSTRUCTIVE MICROSURGERY,SCIE,1.734,84,SURGERY
0022-3468,JOURNAL OF PEDIATRIC SURGERY,SCI,1.733,85,SURGERY
0253-4886,DIGESTIVE SURGERY,SCIE,1.728,86,SURGERY
1011-6125,STEREOTACTIC AND FUNCTIONAL NEUROSURGERY,SCIE,1.691,87,SURGERY
1743-9191,INTERNATIONAL JOURNAL OF SURGERY,SCIE,1.657,88,SURGERY
0390-5616,JOURNAL OF NEUROSURGICAL SCIENCES,SCIE,1.651,89,SURGERY
0363-5023,JOURNAL OF HAND SURGERY-AMERICAN VOLUME,SCIE,1.640,90,SURGERY
0021-9509,JOURNAL OF CARDIOVASCULAR SURGERY,SCIE,1.632,91,SURGERY
1549-5418,PHOTOMEDICINE AND LASER SURGERY,SCIE,1.631,92,SURGERY
1042-3680,NEUROSURGERY CLINICS OF NORTH AMERICA,SCIE,1.624,93,SURGERY
1055-8586,SEMINARS IN PEDIATRIC SURGERY,SCIE,1.624,93,SURGERY
0001-6268,ACTA NEUROCHIRURGICA,SCI,1.617,95,SURGERY
1085-5629,SEMINARS IN CUTANEOUS MEDICINE AND SURGERY,SCI,1.600,96,SURGERY
1010-5182,JOURNAL OF CRANIO-MAXILLOFACIAL SURGERY,SCI,1.592,97,SURGERY
1749-7922,WORLD JOURNAL OF EMERGENCY SURGERY,SCIE,1.583,98,SURGERY
1878-7886,JOURNAL OF VISCERAL SURGERY,SCIE,1.568,99,SURGERY
0901-5027,INTERNATIONAL JOURNAL OF ORAL AND MAXILLOFACIAL SURGERY,SCI,1.563,100,SURGERY
1547-4127,THORACIC SURGERY CLINICS,SCIE,1.547,101,SURGERY
0008-428X,CANADIAN JOURNAL OF SURGERY,SCI,1.546,102,SURGERY
0148-7043,ANNALS OF PLASTIC SURGERY,SCI,1.535,103,SURGERY
1478-5951,INTERNATIONAL JOURNAL OF MEDICAL ROBOTICS AND COMPUTER ASSISTED SURGERY,SCIE,1.511,104,SURGERY
0936-8051,ARCHIVES OF ORTHOPAEDIC AND TRAUMA SURGERY,SCIE,1.496,105,SURGERY
1471-2482,BMC SURGERY,SCIE,1.469,106,SURGERY
0968-0160,KNEE,SCIE,1.446,107,SURGERY
1877-0568,ORTHOPAEDICS & TRAUMATOLOGY-SURGERY & RESEARCH,SCIE,1.393,108,SURGERY
1559-047X,JOURNAL OF BURN CARE & RESEARCH,SCIE,1.370,109,SURGERY
1534-7346,INTERNATIONAL JOURNAL OF LOWER EXTREMITY WOUNDS,SCIE,1.366,110,SURGERY
1553-3506,SURGICAL INNOVATION,SCIE,1.358,111,SURGERY
1527-7941,ADVANCES IN SKIN & WOUND CARE,SCIE,1.337,112,SURGERY
0035-8843,ANNALS OF THE ROYAL COLLEGE OF SURGEONS OF ENGLAND,SCIE,1.332,113,SURGERY
0941-1291,SURGERY TODAY,SCIE,1.329,114,SURGERY
1096-2964,SURGICAL INFECTIONS,SCIE,1.316,115,SURGERY
1092-6429,JOURNAL OF LAPAROENDOSCOPIC & ADVANCED SURGICAL TECHNIQUES,SCI,1.297,116,SURGERY
1477-7819,WORLD JOURNAL OF SURGICAL ONCOLOGY,SCIE,1.286,117,SURGERY
1364-5706,MINIMALLY INVASIVE THERAPY & ALLIED TECHNOLOGIES,SCIE,1.279,118,SURGERY
0939-7248,EUROPEAN JOURNAL OF PEDIATRIC SURGERY,SCIE,1.269,119,SURGERY
0266-4356,BRITISH JOURNAL OF ORAL & MAXILLOFACIAL SURGERY,SCI,1.237,120,SURGERY
2325-8160,OPHTHALMIC SURGERY LASERS & IMAGING RETINA,SCI,1.212,121,SURGERY
0303-8467,CLINICAL NEUROLOGY AND NEUROSURGERY,SCIE,1.198,122,SURGERY
0930-1038,SURGICAL AND RADIOLOGIC ANATOMY,SCIE,1.195,123,SURGERY
